             Player Name | Predicted Fantasy Points

            Nathan Gerbe | 307
             Tyler Motte | 298
          Karson Kuhlman | 283
           Ryan Poehling | 254
          Rasmus Asplund | 251
           Filip Chlapik | 241
             Nicolas Roy | 239
          Jesper Boqvist | 227
       Nicklas Backstrom | 224
          Brandon Sutter | 223
            Joel Kellman | 220
       Vladislav Kamenev | 220
         Melker Karlsson | 219
       Casey Mittelstadt | 218
            Trevor Lewis | 212
       Mitchell Stephens | 199
           Adam Gaudette | 199
            Denis Malgin | 198
             Jack Hughes | 196
             Mikko Koivu | 193
            Jordan Kyrou | 191
              Sam Gagner | 188
          Scott Laughton | 186
          Artem Anisimov | 185
           Jack Roslovic | 184
           Dominik Kahun | 182
              Cody Eakin | 178
         Colton Sceviour | 176
             John Hayden | 176
            Curtis Lazar | 175
        Alexandre Texier | 175
              Adam Lowry | 174
            John Tavares | 172
        William Karlsson | 172
      Alexander Wennberg | 171
                Nic Dowd | 171
          Drake Caggiula | 168
         Brad Richardson | 165
           Ryan O'Reilly | 165
        Evgeny Kuznetsov | 165
             Derek Grant | 164
          Justin Dowling | 159
         Markus Granlund | 156
         Colin Blackwell | 156
         Christoffer Ehn | 155
             Noah Gregor | 153
         Andrew Cogliano | 152
      Jesperi Kotkaniemi | 152
        Vincent Trocheck | 151
           Nico Hischier | 150
         Mattias Janmark | 150
         Auston Matthews | 150
            David Krejci | 149
       Frederik Gauthier | 149
          Jansen Harkins | 147
             Gaetan Haas | 145
          Evan Rodrigues | 145
          Michael Amadio | 144
             Devin Shore | 142
        Matthew Highmore | 141
             Nazem Kadri | 141
          Nicholas Shore | 141
Pierre-Edouard Bellemare | 141
             Kevin Hayes | 140
         Derick Brassard | 139
           Logan Couture | 139
            Trevor Moore | 138
             Greg McKegg | 138
            Noel Acciari | 137
           Teddy Blueger | 136
             Tomas Hertl | 136
             Victor Rask | 135
       Zemgus Girgensons | 135
           Emil Bemstrom | 135
          Mason Appleton | 134
        Joakim Nordstrom | 133
              Zack Smith | 133
            Paul Stastny | 133
           Blake Lizotte | 132
            Kevin Rooney | 131
               Sam Steel | 130
           Sebastian Aho | 130
            Par Lindholm | 128
            Yanni Gourde | 128
           Dominik Simon | 127
          Dylan Gambrell | 127
          Mika Zibanejad | 126
        Nathan MacKinnon | 124
             Colin White | 124
              Eric Staal | 122
             Ryan Strome | 122
           Carter Rowney | 122
          Calle Jarnkrok | 121
     Jean-Gabriel Pageau | 121
           Nick Schmaltz | 121
             Kyle Turris | 119
            Brett Howden | 117
         Phillip Danault | 117
             David Kampf | 115
            Robby Fabbri | 114
             Radek Faksa | 114
             Sam Bennett | 113
        Zach Aston-Reese | 112
       Alexander Kerfoot | 112
       Valtteri Filppula | 111
          Colton Sissons | 111
           Sidney Crosby | 111
           Riley Sheahan | 110
          Mark Scheifele | 110
             Brian Boyle | 110
   Jonathan Marchessault | 110
            Sam Lafferty | 110
             Jordan Weal | 110
        Dominic Toninato | 109
        Carter Verhaeghe | 108
           Ryan Johansen | 108
               Bo Horvat | 107
           Tobias Rieder | 106
           Adam Henrique | 105
            Jared McCann | 105
         Jason Dickinson | 103
            Jason Spezza | 103
              Luke Kunin | 102
          Gustav Nyquist | 102
         Mikael Granlund | 102
            Dylan Larkin | 101
         Oskar Sundqvist | 101
          Lucas Wallmark | 101
             Nick Bonino | 100
          Elias Lindholm | 100
           Mathew Barzal | 99
        Elias Pettersson | 99
             Tyler Bozak | 98
       Pierre-Luc Dubois | 98
         Luke Glendening | 98
           Nate Thompson | 98
           Charlie Coyle | 98
          Ryan Carpenter | 97
              Kirby Dach | 97
            Adrian Kempe | 96
             Nick Suzuki | 96
             Sean Kuraly | 95
     Ryan Nugent-Hopkins | 95
         Patrick Marleau | 94
          Leon Draisaitl | 94
           Evgeni Malkin | 94
           Chris Tierney | 94
            Anze Kopitar | 94
            Ryan Dzingel | 94
            Joe Thornton | 94
             Jack Eichel | 93
            Sean Monahan | 93
          Kevin Stenlund | 93
          Carl Soderberg | 92
            Travis Zajac | 92
            Derek Stepan | 92
         Alex Galchenyuk | 92
            Filip Chytil | 92
           Johan Larsson | 91
             J.T. Miller | 91
          Jonathan Toews | 90
            Jordan Staal | 90
           Frans Nielsen | 89
         Mikael Backlund | 88
             Andrew Copp | 87
          Brayden Schenn | 87
           Blake Coleman | 87
              Tyson Jost | 87
            Sam Reinhart | 86
           Tyler Johnson | 86
        Christian Dvorak | 86
              Lars Eller | 86
       Aleksander Barkov | 86
              Derek Ryan | 85
            Brock Nelson | 85
        Patrice Bergeron | 85
   Vladislav Namestnikov | 84
              Jay Beagle | 84
          Ivan Barbashev | 83
             Pavel Zacha | 82
          Sean Couturier | 82
     Chandler Stephenson | 81
           Frank Vatrano | 80
            Joe Pavelski | 80
          Steven Stamkos | 80
         Barclay Goodrow | 79
            Dylan Strome | 77
                Max Domi | 76
           Claude Giroux | 75
         Anthony Cirelli | 75
              Riley Nash | 73
           Brayden Point | 73
              Cody Glass | 73
           Robert Thomas | 72
         Cedric Paquette | 72
           Tyler Pitlick | 72
             Tyler Ennis | 71
        Joel Eriksson Ek | 70
          Mark Jankowski | 68
            Ryan Getzlaf | 68
             Dillon Dube | 65
          Connor McDavid | 65
            Nick Cousins | 59
             Ryan Donato | 53
           Casey Cizikas | 50
             Jeff Carter | 48
            Matt Duchene | 48
            Martin Necas | 41
            Boone Jenner | 38
            Tyler Seguin | 33
